,year,date,all_2534,HS_2534,SC_2534,BAp_2534,BAo_2534,GD_2534,White_2534,Black_2534,Hisp_2534,NE_2534,MA_2534,Midwest_2534,South_2534,Mountain_2534,Pacific_2534,poor_2534,mid_2534,rich_2534,all_3544,HS_3544,SC_3544,BAp_3544,BAo_3544,GD_3544,White_3544,Black_3544,Hisp_3544,NE_3544,MA_3544,Midwest_3544,South_3544,Mountain_3544,Pacific_3544,poor_3544,mid_3544,rich_3544,all_4554,HS_4554,SC_4554,BAp_4554,BAo_4554,GD_4554,White_4554,Black_4554,Hisp_4554,NE_4554,MA_4554,Midwest_4554,South_4554,Mountain_4554,Pacific_4554,poor_4554,mid_4554,rich_4554,work_2534,nowork_2534,work_HS_2534,work_SC_2534,work_BAp_2534,work_BAo_2534,work_GD_2534,nowork_HS_2534,nowork_SC_2534,nowork_BAp_2534,nowork_BAo_2534,nowork_GD_2534,work_White_2534,work_Black_2534,work_Hisp_2534,nowork_White_2534,nowork_Black_2534,nowork_Hisp_2534,work_poor_2534,work_mid_2534,work_rich_2534,nowork_poor_2534,nowork_mid_2534,nowork_rich_2534,nokids_all_2534,kids_all_2534,nokids_HS_2534,nokids_SC_2534,nokids_BAp_2534,nokids_BAo_2534,nokids_GD_2534,kids_HS_2534,kids_SC_2534,kids_BAp_2534,kids_BAo_2534,kids_GD_2534,nokids_poor_2534,nokids_mid_2534,nokids_rich_2534,kids_poor_2534,kids_mid_2534,kids_rich_2534
1,1960,1960-01-01,0.837544766073559,0.84993462144157,0.815519614493302,0.775219709468719,0.775219709468719,1,0.845381580302471,0.796192061083647,0.8218327864846939,0.809489425100704,0.796475386208388,0.849599843408723,0.856673674362602,0.874639517708161,0.827600253143504,0.830873247002941,0.9014688880593499,0.716772366525368,0.9175652132959163,0.9136956992780711,0.937581372614366,0.9089357270179999,0.9089357270179999,1,0.9212828796238669,0.889561730697501,0.9116871717686424,0.903021045678689,0.897633205827408,0.9168532241211583,0.9295682872166673,0.9400814440301068,0.923387467170703,0.879983980544527,0.9483317962035454,0.893747251756544,0.9257693764956458,0.9233388148459759,0.9438295299389446,0.9174651712709281,0.9174651712709281,1,0.9275007907683127,0.9200270938993943,0.9237299790048866,0.9070425838442725,0.9113456343179672,0.9237811179526417,0.9384571688368051,0.9448893023972782,0.9279410857685618,0.880770191096117,0.9533279097472636,0.9171956240349031,0.882917813998102,0.733328467746649,0.893818927978318,0.867186001579327,0.826131408141037,0.826131408141037,1,0.7598467770301001,0.64045544694716,0.6539249969854091,0.6539249969854091,1,0.886351398125075,0.859216424427066,0.885962424929838,0.7378361838255749,0.729589810798063,0.725598446330766,0.891533074378261,0.92732653312566,0.78530780690472,0.766369473014836,0.8165474858687101,0.518910634947416,0.504678933953282,0.9980349614934879,0.521464028724357,0.47750585157648395,0.442285224705974,0.442285224705974,1,0.9976535606577412,0.998884001511235,0.9997612276718026,0.9997612276718026,1,0.47516198944894605,0.566500647715295,0.47054078165632196,0.9959797523167266,0.998836662667256,0.9984567243003881
2,1970,1970-01-01,0.844590729333344,0.85877693805485,0.8276790440898429,0.800923181163716,0.800923181163716,1,0.852739002471465,0.791464349603884,0.851110302147798,0.818814814814815,0.806908960057575,0.858986308414219,0.862152202479575,0.870928829915561,0.821454408658159,0.809795116926593,0.9015191897654584,0.7654352355302609,0.9212896083381712,0.9185719105205792,0.9323937866474643,0.9150827083119285,0.9150827083119285,1,0.9264852218834688,0.878167549167927,0.9275042087542087,0.9043897047213011,0.897933534743202,0.9281450672606721,0.9291504719600222,0.9463253509496284,0.9207211410290589,0.874837621256854,0.9485751993605591,0.917994867902707,0.9352714191692887,0.9313661878768758,0.9513942439242805,0.9358504398826979,0.9358504398826979,1,0.9380872128680469,0.9080627508208683,0.9416289592760181,0.9208622249020199,0.9197312014830263,0.9353752769008041,0.9434045689019896,0.9568281938325991,0.9422647635797876,0.879450533705853,0.9594256106052248,0.9433145043402934,0.887569855864533,0.722083891974718,0.898960749411151,0.874392675325681,0.850194428507682,0.850194428507682,1,0.747783764992178,0.660716756607168,0.7034186955973261,0.7034186955973261,1,0.8920600568104959,0.850400900267267,0.895865237366003,0.72626890408121,0.7009719222462201,0.766622864651774,0.872516510920501,0.9217531261607033,0.826377665109483,0.720536619608455,0.816767502160761,0.5669790915645281,0.558178409810032,0.9969076027253735,0.557051946129939,0.5597084367245659,0.559474671669794,0.559474671669794,1,0.9957296124983206,0.9990824095429408,0.9996140188358809,0.9996140188358809,1,0.47959597781485297,0.630192984123966,0.540527034680348,0.9930673741115227,0.9982600246308202,0.9980702963473467
3,1980,1980-01-01,0.762699761094684,0.791850044573734,0.743560717787645,0.716583819673144,0.716583819673144,1,0.776487318623009,0.666351247107225,0.7796712747658789,0.717877380684492,0.710332036222133,0.782785024795937,0.798590562347026,0.782182548360802,0.713678938557534,0.6487110746284299,0.826019633750833,0.750090638664052,0.9228371129809917,0.922083830973099,0.928867926541675,0.912968115677599,0.912968115677599,1,0.9304055689599975,0.865366912151499,0.9129206064127621,0.9122603310706205,0.8961467524051641,0.9324741160259409,0.9343973249674509,0.940296631473102,0.9074840562571272,0.8572959604286889,0.946738841806554,0.9411366322716673,0.940542448000468,0.9381314265187913,0.9489232653853911,0.9359076082165212,0.9359076082165212,1,0.9450040791040804,0.9044792766237129,0.9337006817138215,0.9263234132209639,0.9198538959325219,0.943853290910751,0.9492537985115348,0.959898970273946,0.9388776235746451,0.878173999531945,0.9617575651207348,0.9604828090709583,0.81284091220017,0.656928086156729,0.845473138907343,0.793129431978683,0.77053222997623,0.77053222997623,1,0.701104051135,0.6095556758352609,0.593894542090657,0.593894542090657,1,0.820412545786666,0.746327187591454,0.825737709443233,0.6686719438773829,0.577180770067435,0.716840480403599,0.698148362681495,0.844411028726294,0.818341605839416,0.60788877905679,0.768822705730289,0.547459302023197,0.5319588349073701,0.9935777852533717,0.5400945022193699,0.52688741066792,0.524399667142178,0.524399667142178,1,0.9915731637027594,0.995158733805017,0.9979549657347982,0.9979549657347982,1,0.41229845485164596,0.593343048493117,0.563681176947866,0.9814980289093298,0.9963309415106686,0.9978634217808888
4,1990,1990-01-01,0.650805038046522,0.6605320497121749,0.667079638775412,0.6097529952627709,0.596672696660437,0.646960539439249,0.678552450159257,0.49386403533988,0.65356755263736,0.59483797431266,0.5846837020633411,0.675340381539422,0.6893393491670581,0.690668430171011,0.604015928216444,0.531840394645378,0.718917393670234,0.637186023411796,0.873008550585421,0.861898057428833,0.88702278234609,0.873823643125916,0.8680990820214249,0.882451777795577,0.885869135205487,0.775504280871084,0.867127397348392,0.857002928595552,0.8430721454286569,0.886566182938357,0.891124458682185,0.888657408947439,0.843913908424579,0.771311432623967,0.9045019964931108,0.9121104084689352,0.9350246579725294,0.9279420050731398,0.9489627448607806,0.9358151244552118,0.9363017212951797,0.9352819991769875,0.9420403224996737,0.882083625592968,0.9212624257734326,0.925363318128779,0.9127979696612709,0.9416833983263336,0.9445607763023494,0.9479874892895489,0.9249625749460695,0.8669273408870191,0.9564284655333889,0.9613525837728909,0.704825462608628,0.538695083220692,0.729291840085629,0.715592339948241,0.65133597300188,0.638424861201078,0.690339821931908,0.557075213624914,0.537474889684803,0.47468238445439304,0.45169811412711103,0.5290407169408979,0.721042760632199,0.588774425368335,0.701410613707937,0.566527395377877,0.39506426850919396,0.596794474267909,0.5587065486781899,0.745195729969804,0.7139999027696999,0.509426947617318,0.6330793128865331,0.44001447287886797,0.424632638301359,0.974570911317393,0.417936366280255,0.43940162788125003,0.420193637037655,0.40738620454879604,0.45817027193623805,0.9635441874153485,0.9825850726143136,0.9930373400811641,0.9920511299328058,0.9956229082509503,0.32419464483620997,0.465001191314138,0.464239033473538,0.9307986251655084,0.9848004188417061,0.9910543466064313
5,2000,2000-01-01,0.608086983485843,0.620287179503076,0.622139265553061,0.570951545271883,0.5565999271335851,0.6112149491086589,0.630743595665448,0.49731346311938396,0.634320031896189,0.536707774660215,0.534306620578521,0.620702358633521,0.6487735481180921,0.6426691946807199,0.571335043239598,0.457270634735233,0.658226575090014,0.6618867009333049,0.8215548492188041,0.800857409983353,0.8388708364160931,0.839499950933752,0.830607096191376,0.855300983167766,0.839418626010915,0.7041559794866821,0.824926911084544,0.8044189358304921,0.79151028149486,0.832920576198365,0.838430844444798,0.836348886732048,0.795281104933772,0.684756119005898,0.858900584787085,0.887082150450772,0.9031958058635363,0.887142614964724,0.9141357715435481,0.9135052837870123,0.9073146629997025,0.9219140015742524,0.9123396813696897,0.8283741899581449,0.9003560388730942,0.891231120174553,0.881737267183122,0.9090393889903419,0.9161412852333819,0.9093423014970909,0.88680329190664,0.7996380611148259,0.9303001229547944,0.9525979885923535,0.6494816826812879,0.522848833762336,0.6683010130595519,0.6635367231206479,0.60867359897845,0.5941603641732109,0.65271899621629,0.552110868659591,0.508158805629267,0.45281994000847803,0.42846087583777503,0.507151634436148,0.668395372835382,0.547860852127797,0.657586387043809,0.521094369646333,0.43989265538240896,0.606740292952167,0.47137293537906,0.678743363362551,0.704997378603065,0.445172386247385,0.5914761166030851,0.558463832654134,0.402342159439281,0.9421793461248394,0.40774537635710595,0.39988270200417797,0.396734914709871,0.37971089827205295,0.445251263300648,0.9200810080479664,0.9527020223045929,0.9805277527401742,0.9782407457143983,0.9867142943633832,0.277564609138787,0.413287031843511,0.513310213249653,0.857740235149623,0.9587096660477218,0.9793635558880527
6,2001,2001-01-01,0.600259822457453,0.606835718275679,0.614845620793079,0.5744863197383789,0.5573599765252071,0.62106165408391,0.624004047349173,0.463145619391788,0.620288105906208,0.518987313724686,0.522763255416357,0.620013308847318,0.639973941441905,0.642375675141741,0.5605280027163819,0.43916187688713404,0.640291883765534,0.6821462751370919,0.823062529704203,0.804928325621364,0.837658728555287,0.839000938764089,0.832849678048504,0.850324277517226,0.837823802770408,0.7025588989276961,0.836642698211622,0.815512329595723,0.796305952228638,0.832869451286411,0.841449040252725,0.832537045464008,0.792100131592335,0.673181586156484,0.853900080135304,0.9114619110507849,0.9053916481637471,0.894496598804903,0.9143338761707251,0.9111760088689848,0.9053493153786583,0.9195422827917359,0.9141082555674908,0.832348662643117,0.9022686332421979,0.8954731260563971,0.885806385086819,0.9099941566404841,0.9163805565869948,0.916183089677297,0.89062355102777,0.800674024223857,0.9275532311376303,0.96764771285962,0.638726909406703,0.501320659797586,0.650224445218383,0.6530369114212791,0.607435783786599,0.592402481504556,0.6511931211987281,0.515533698200218,0.5007924906198731,0.471496391062892,0.43922090058889396,0.543357583082804,0.658777643965781,0.508136124603047,0.6508863327603069,0.52141771726647,0.379861455960806,0.548639711278611,0.4617405628125,0.6571420087743189,0.717514678978799,0.41496387908006305,0.5811612720714769,0.5339869029487609,0.37836985880667495,0.9445324371908074,0.35982607977064895,0.384365330196041,0.39711741208935303,0.375691687300707,0.45619712148523694,0.923591918894398,0.9535891713062506,0.980526178167166,0.978359990056964,0.9862352852244068,0.264630862637649,0.39096364471841905,0.48964069761280404,0.862469566564756,0.9579035564048264,0.9756492959306348
7,2002,2002-01-01,0.6030353147618039,0.6045299670022131,0.6185761828786109,0.584719047501813,0.570444721774665,0.623712899345725,0.6278514349857081,0.465124144318216,0.620472917174903,0.543039176426653,0.528060845658325,0.619069858911504,0.636130896188503,0.64982144852758,0.568811182432619,0.44520694306145503,0.640354820849646,0.6865585972231081,0.81954522499963,0.805752166103225,0.829347000694979,0.832407222534691,0.82424673500341,0.847745955941793,0.835589539904399,0.71196936967498,0.815558937294319,0.788653946068013,0.791153207129764,0.82806437058822,0.840727958225332,0.83801229121357,0.789327429135082,0.6742756067325659,0.846740629740121,0.9109766758192646,0.898863258979427,0.887992576417099,0.9051753111139436,0.9072746135956997,0.9023682706061351,0.9144174633537747,0.9067027040472722,0.8173512707980191,0.911811097586273,0.88332728859697,0.877224856570836,0.9035645965111496,0.9122130571909106,0.9164998355408807,0.879405229542602,0.785580313401623,0.9228684795087565,0.9650786128224955,0.6428201024946101,0.5103876392257489,0.6434501123927701,0.658805084532782,0.625671247644785,0.6129789033769371,0.661787666853367,0.5292755641753171,0.510106606889235,0.471350693262483,0.44774254886353604,0.529172420413679,0.665988699442182,0.514279057984782,0.650593717411446,0.528440884228496,0.38109967097250597,0.553900752972304,0.46729607260334005,0.657675818235655,0.722987881812128,0.423879076419706,0.587193230139743,0.5417408517711619,0.37903995086075903,0.9441800699924259,0.355273327514799,0.38808409864330295,0.402597363199241,0.386078006439619,0.448574552708788,0.9235645445220467,0.9494730271442438,0.9838683062900248,0.9810097680984473,0.9913681702097835,0.26455304243280797,0.39166505684890396,0.48844362477164605,0.852965088830238,0.959347120146349,0.9809073082532257
8,2003,2003-01-01,0.592670254328205,0.596699904432846,0.60533675540336,0.5734175077207699,0.552120945296214,0.633423220877823,0.619711543181961,0.44326577342086904,0.613773474724028,0.53274039152557,0.499380115558555,0.607874499271831,0.6338833499932299,0.644497677171074,0.551979880808679,0.428581901713057,0.6282239537668199,0.685664400775445,0.819129983485443,0.804423136070881,0.82692604029273,0.834910587478078,0.825779066859416,0.85150518875326,0.8359319068690461,0.694014965216495,0.8320926492324789,0.799603766636291,0.786568118218701,0.830196986077231,0.835287826256523,0.845733722017938,0.793797680449599,0.675323167449116,0.846034172965885,0.9115138327056307,0.895205763336272,0.882608189322487,0.9022641024443498,0.9055232987420962,0.896141362429025,0.9191350840033725,0.9048756252338495,0.811641154012125,0.897081473373777,0.891358456773709,0.872308639226265,0.9034465179830458,0.905602010443297,0.9089291210041079,0.876553463559535,0.775681241940609,0.9199102947514572,0.9656819270161447,0.6341000515745,0.49558174868479,0.640597259330254,0.6514534885929659,0.607874545948442,0.5856477137674361,0.675194339025614,0.512367083231975,0.48395801239470304,0.472586897456317,0.44643544491256604,0.5329968915883909,0.65658808934291,0.517034743946578,0.638653516917238,0.521387985364755,0.329877699216511,0.556171720372573,0.45623405253584803,0.643492267096082,0.724163102117279,0.40271431909743405,0.579254820509425,0.5357376756672361,0.370201512338425,0.9399956876363526,0.349321210092275,0.376258216429073,0.392074232464225,0.372785898584696,0.45000670397827003,0.9207261510105897,0.9439034207061531,0.9775104404205418,0.973806956030021,0.98661988693742,0.25091301524126797,0.38190401698725096,0.48870536832245604,0.855223563090465,0.950377680087725,0.9797043540315805
